order_id,order_date,region,category,channel,customer_segment,units,unit_price,discount_pct,revenue,cost,profit,delivery_days,rating
648,2024-01-10,South,Apparel,Wholesale,Consumer,383,126.04,0.1,43445.99,27948.03,15497.96,4.0,
845,2024-01-10,South,Accessories,Online,Consumer,3,33.96,0.05,96.79,67.78,29.01,11.0,3.0
1912,2024-01-10,South,Outerwear,Online,Consumer,8,38.51,0.0,308.08,180.45,127.63,14.0,1.0
2782,2024-01-10,North,Outerwear,Online,Consumer,11,14.3,0.25,117.98,69.92,48.06,8.0,5.0
2924,2024-01-10,East,Apparel,Online,Consumer,5,36.67,0.0,183.35,107.24,76.11,8.0,3.0
3907,2024-01-10,West,Apparel,Online,Corporate,8,53.95,0.15,366.86,217.41,149.45,2.0,5.0
4083,2024-01-10,South,Footwear,Online,Consumer,6,16.87,0.0,101.22,64.65,36.57,14.0,1.0
237,2024-01-11,North,Accessories,Wholesale,Consumer,238,27.81,0.0,6618.78,4851.84,1766.94,1.0,4.0
1947,2024-01-11,North,Apparel,Online,Consumer,9,93.07,0.1,753.87,530.72,223.15,12.0,4.0
2640,2024-01-11,West,Apparel,Retail,Home Office,2,86.61,0.0,173.22,106.67,66.55,14.0,
3515,2024-01-11,West,Accessories,Retail,Home Office,5,37.03,0.05,175.89,108.13,67.76,4.0,
3913,2024-01-11,North,Outerwear,Online,Consumer,5,54.1,0.0,270.5,174.95,95.55,3.0,5.0
4953,2024-01-11,East,Apparel,Online,Consumer,10,58.59,0.05,556.6,351.64,204.96,9.0,2.0
322,2024-01-12,West,Apparel,Retail,Consumer,11,151.12,0.0,1662.32,1106.8,555.52,13.0,5.0
1274,2024-01-12,East,Apparel,Online,Consumer,10,34.74,0.05,330.03,192.71,137.32,14.0,1.0
1354,2024-01-12,West,Outerwear,Online,Consumer,4,61.0,0.0,244.0,158.07,85.93,6.0,5.0
1482,2024-01-12,East,Outerwear,Retail,Corporate,8,53.44,0.05,406.14,255.85,150.29,14.0,
2209,2024-01-12,North,Footwear,Online,Consumer,7,37.89,0.1,238.71,150.69,88.02,8.0,3.0
2848,2024-01-12,West,Apparel,Online,Home Office,3,79.81,0.0,239.43,147.93,91.5,8.0,3.0
3439,2024-01-12,West,Footwear,Wholesale,Consumer,88,106.63,0.0,9383.44,6004.51,3378.93,,5.0
144,2024-01-13,South,Apparel,Retail,Corporate,7,73.26,0.0,512.82,323.31,189.51,3.0,4.0
829,2024-01-13,West,Accessories,Retail,Home Office,2,27.32,0.15,46.44,29.54,16.9,13.0,4.0
934,2024-01-13,South,Accessories,Retail,Consumer,11,50.85,0.0,559.35,333.48,225.87,4.0,4.0
1248,2024-01-13,East,Footwear,Retail,Consumer,7,72.56,0.0,507.92,307.15,200.77,3.0,3.0
1886,2024-01-13,East,Apparel,Online,Consumer,2,70.0,0.0,140.0,86.74,53.26,7.0,1.0
3022,2024-01-13,South,Footwear,Online,Consumer,8,61.75,0.25,370.5,227.02,143.48,3.0,2.0
3207,2024-01-13,North,Accessories,Online,Corporate,2,33.83,0.05,64.28,41.41,22.87,6.0,
3705,2024-01-13,North,Accessories,Retail,Consumer,9,43.97,0.1,356.16,210.27,145.89,4.0,5.0
525,2024-01-14,East,Apparel,Online,Home Office,4,108.16,0.0,432.64,307.17,125.47,1.0,
1272,2024-01-14,South,Accessories,Retail,Consumer,6,22.92,0.0,137.52,87.37,50.15,7.0,3.0
2216,2024-01-14,West,Apparel,Online,Corporate,11,41.31,0.0,454.41,277.23,177.18,1.0,2.0
2230,2024-01-14,West,Apparel,Online,Home Office,5,30.32,0.0,151.6,92.37,59.23,1.0,2.0
3424,2024-01-14,South,Apparel,Retail,Corporate,7,65.36,0.0,457.52,266.88,190.64,,2.0
286,2024-01-15,East,Apparel,Online,Consumer,10,43.28,0.0,432.8,269.67,163.13,12.0,4.0
319,2024-01-15,East,Accessories,Online,Consumer,4,55.81,0.15,189.75,109.78,79.97,1.0,3.0
1023,2024-01-15,West,Apparel,Online,Consumer,3,133.62,0.0,400.86,241.41,159.45,11.0,
1410,2024-01-15,South,Accessories,Retail,Consumer,5,29.1,0.0,145.5,95.4,50.1,,3.0
3648,2024-01-15,West,Accessories,Wholesale,Home Office,278,61.16,0.0,17002.48,9845.25,7157.23,,2.0
4835,2024-01-15,South,Accessories,Online,Home Office,1,94.95,0.05,90.2,57.49,32.71,5.0,3.0
4874,2024-01-15,West,Outerwear,Retail,Consumer,9,96.31,0.05,823.45,459.63,363.82,10.0,1.0
3252,2024-01-16,South,Accessories,Wholesale,Consumer,61,30.47,0.0,1858.67,1241.34,617.33,8.0,4.0
4983,2024-01-16,East,Footwear,Wholesale,Consumer,252,81.8,0.0,20613.6,12288.45,8325.15,11.0,2.0
180,2024-01-17,West,Footwear,Retail,Consumer,7,53.83,0.25,282.61,174.74,107.87,3.0,4.0
1211,2024-01-17,East,Footwear,Retail,Consumer,1,29.36,0.0,29.36,17.64,11.72,7.0,4.0
4234,2024-01-17,West,Accessories,Online,Consumer,6,37.52,0.15,191.35,117.77,73.58,4.0,1.0
4748,2024-01-17,North,Outerwear,Retail,Home Office,5,38.37,0.0,191.85,129.17,62.68,1.0,3.0
204,2024-01-18,West,Accessories,Retail,Consumer,4,79.53,0.0,318.12,182.37,135.75,6.0,
1984,2024-01-18,West,Footwear,Online,Consumer,9,30.63,0.15,234.32,141.97,92.35,8.0,2.0
2659,2024-01-18,East,Outerwear,Online,Consumer,5,63.44,0.0,317.2,221.29,95.91,10.0,5.0
3176,2024-01-18,North,Accessories,Online,Corporate,9,49.95,0.05,427.07,278.43,148.64,,5.0
3581,2024-01-18,North,Outerwear,Wholesale,Home Office,165,41.69,0.0,6878.85,3869.86,3008.99,5.0,3.0
643,2024-01-19,West,Accessories,Retail,Consumer,4,68.77,0.0,275.08,145.45,129.63,5.0,5.0
773,2024-01-19,West,Apparel,Online,Home Office,6,69.8,0.05,397.86,234.37,163.49,5.0,
1030,2024-01-19,South,Footwear,Wholesale,Consumer,295,22.08,0.1,5862.24,3716.79,2145.45,10.0,2.0
1966,2024-01-19,North,Footwear,Online,Consumer,11,45.94,0.0,505.34,319.71,185.63,8.0,4.0
2892,2024-01-19,West,Footwear,Online,Home Office,11,66.52,0.05,695.13,408.58,286.55,14.0,4.0
3570,2024-01-19,West,Apparel,Wholesale,Consumer,256,77.04,0.15,16763.9,9389.65,7374.25,12.0,5.0
3835,2024-01-19,East,Footwear,Online,Consumer,1,64.37,0.1,57.93,39.38,18.55,13.0,3.0
4040,2024-01-19,West,Footwear,Retail,Consumer,8,60.65,0.1,436.68,270.14,166.54,11.0,5.0
4377,2024-01-19,South,Outerwear,Online,Consumer,7,91.17,0.05,606.28,394.18,212.1,1.0,5.0
4494,2024-01-19,East,Apparel,Retail,Corporate,4,50.97,0.25,152.91,89.43,63.48,5.0,1.0
4646,2024-01-19,North,Apparel,Retail,Consumer,4,68.82,0.1,247.75,175.15,72.6,10.0,5.0
97,2024-01-20,South,Footwear,Wholesale,Consumer,312,77.09,0.05,22849.48,13679.67,9169.81,8.0,4.0
514,2024-01-20,West,Accessories,Retail,Corporate,6,59.46,0.05,338.92,211.96,126.96,7.0,1.0
1125,2024-01-20,South,Apparel,Retail,Corporate,8,50.69,0.1,364.97,237.64,127.33,4.0,1.0
1246,2024-01-20,West,Accessories,Retail,Consumer,10,64.53,0.0,645.3,336.11,309.19,6.0,3.0
1852,2024-01-20,South,Apparel,Retail,Corporate,11,70.52,0.05,736.93,535.91,201.02,7.0,3.0
3270,2024-01-20,South,Apparel,Online,Home Office,9,125.83,0.1,1019.22,635.8,383.42,10.0,3.0
3488,2024-01-20,West,Outerwear,Online,Consumer,3,34.59,0.15,88.2,55.03,33.17,9.0,4.0
3893,2024-01-20,East,Footwear,Online,Home Office,10,69.24,0.0,692.4,438.1,254.3,4.0,1.0
4326,2024-01-20,East,Outerwear,Retail,Home Office,8,56.59,0.0,452.72,299.3,153.42,,
4572,2024-01-20,North,Footwear,Online,Corporate,1,26.65,0.1,23.98,14.3,9.68,9.0,
571,2024-01-21,North,Apparel,Online,Consumer,3,27.79,0.0,83.37,47.64,35.73,13.0,4.0
1862,2024-01-21,South,Footwear,Retail,Home Office,1,109.69,0.0,109.69,66.73,42.96,6.0,3.0
2087,2024-01-21,South,Accessories,Retail,Corporate,5,60.81,0.0,304.05,192.8,111.25,9.0,4.0
3403,2024-01-21,North,Accessories,Online,Consumer,10,78.11,0.15,663.94,382.85,281.09,1.0,
3807,2024-01-21,West,Apparel,Retail,Consumer,1,115.26,0.0,115.26,72.04,43.22,5.0,4.0
30,2024-01-22,West,Apparel,Wholesale,Consumer,318,64.55,0.0,20526.9,12588.97,7937.93,,4.0
495,2024-01-22,East,Outerwear,Online,Consumer,10,11.36,0.0,113.6,80.38,33.22,10.0,2.0
2634,2024-01-22,South,Accessories,Online,Consumer,1,29.19,0.0,29.19,18.16,11.03,11.0,1.0
2961,2024-01-22,East,Outerwear,Retail,Consumer,1,32.32,0.25,24.24,15.14,9.1,10.0,3.0
3291,2024-01-22,West,Footwear,Wholesale,Corporate,227,40.3,0.0,9148.1,5292.23,3855.87,,5.0
29,2024-01-23,East,Apparel,Online,Consumer,2,37.99,0.05,72.18,45.51,26.67,2.0,
2248,2024-01-23,East,Apparel,Wholesale,Corporate,333,66.21,0.05,20945.53,12197.86,8747.67,8.0,3.0
4840,2024-01-23,West,Apparel,Retail,Home Office,9,64.41,0.0,579.69,374.72,204.97,11.0,1.0
76,2024-01-24,South,Apparel,Online,Corporate,6,57.98,0.0,347.88,195.22,152.66,12.0,
662,2024-01-24,West,Accessories,Retail,Corporate,4,118.9,0.0,475.6,310.26,165.34,10.0,2.0
676,2024-01-24,South,Apparel,Online,Consumer,11,33.22,0.0,365.42,205.74,159.68,10.0,4.0
1659,2024-01-24,East,Footwear,Online,Consumer,8,57.82,0.05,439.43,278.65,160.78,3.0,2.0
2141,2024-01-24,South,Outerwear,Retail,Consumer,2,77.43,0.0,154.86,96.65,58.21,4.0,2.0
129,2024-01-25,North,Outerwear,Online,Consumer,4,43.98,0.05,167.12,107.24,59.88,8.0,2.0
599,2024-01-25,South,Footwear,Online,Consumer,8,17.97,0.0,143.76,79.12,64.64,4.0,
697,2024-01-25,East,Apparel,Online,Corporate,5,79.39,0.0,396.95,258.28,138.67,5.0,5.0
1531,2024-01-25,South,Accessories,Retail,Home Office,3,53.06,0.15,135.3,87.34,47.96,11.0,1.0
1533,2024-01-25,North,Apparel,Online,Consumer,7,92.94,0.0,650.58,429.3,221.28,,5.0
2858,2024-01-25,South,Outerwear,Online,Home Office,9,32.47,0.15,248.4,148.42,99.98,11.0,3.0
2929,2024-01-25,West,Footwear,Online,Consumer,9,22.83,0.05,195.2,127.96,67.24,9.0,1.0
4417,2024-01-25,South,Accessories,Retail,Home Office,6,58.22,0.0,349.32,198.37,150.95,12.0,
4780,2024-01-25,East,Accessories,Wholesale,Consumer,81,28.99,0.0,2348.19,1424.99,923.2,14.0,1.0
4890,2024-01-25,North,Footwear,Online,Corporate,5,46.32,0.0,231.6,139.28,92.32,5.0,3.0
4895,2024-01-25,North,Apparel,Online,Consumer,10,135.34,0.05,1285.73,787.4,498.33,8.0,1.0
3053,2024-01-26,East,Outerwear,Online,Home Office,7,43.56,0.1,274.43,185.37,89.06,13.0,5.0
3532,2024-01-26,North,Accessories,Retail,Consumer,4,61.35,0.0,245.4,156.82,88.58,5.0,5.0
3575,2024-01-26,East,Footwear,Online,Corporate,7,82.01,0.05,545.37,325.62,219.75,7.0,4.0
4100,2024-01-26,East,Apparel,Retail,Consumer,10,21.11,0.0,211.1,133.56,77.54,6.0,
4272,2024-01-26,East,Accessories,Online,Corporate,6,141.82,0.05,808.37,513.35,295.02,5.0,4.0
4684,2024-01-26,East,Apparel,Retail,Consumer,6,44.21,0.05,252.0,163.94,88.06,,
4733,2024-01-26,South,Accessories,Retail,Corporate,4,53.12,0.0,212.48,124.88,87.6,3.0,2.0
4794,2024-01-26,West,Footwear,Online,Consumer,11,66.13,0.1,654.69,392.63,262.06,11.0,1.0
2231,2024-01-27,East,Outerwear,Retail,Consumer,2,23.19,0.0,46.38,27.59,18.79,,4.0
613,2024-01-28,East,Apparel,Online,Consumer,9,39.16,0.1,317.2,200.98,116.22,12.0,1.0
1401,2024-01-28,West,Outerwear,Retail,Consumer,3,19.34,0.05,55.12,35.03,20.09,13.0,4.0
2296,2024-01-28,North,Footwear,Online,Corporate,9,62.04,0.1,502.52,320.64,181.88,9.0,2.0
3102,2024-01-28,East,Apparel,Online,Consumer,9,37.68,0.05,322.16,215.16,107.0,14.0,4.0
3409,2024-01-28,North,Accessories,Online,Corporate,8,27.28,0.05,207.33,122.94,84.39,5.0,1.0
552,2024-01-29,West,Apparel,Wholesale,Consumer,197,43.31,0.05,8105.47,4555.14,3550.33,12.0,
1070,2024-01-29,North,Footwear,Online,Consumer,9,64.61,0.05,552.42,353.77,198.65,,
1561,2024-01-29,West,Accessories,Online,Corporate,10,82.76,0.0,827.6,529.74,297.86,13.0,5.0
1758,2024-01-29,East,Footwear,Online,Corporate,7,47.69,0.0,333.83,209.34,124.49,5.0,4.0
2373,2024-01-29,South,Outerwear,Online,Consumer,10,66.12,0.05,628.14,411.46,216.68,8.0,5.0
2653,2024-01-29,East,Footwear,Wholesale,Corporate,81,63.45,0.0,5139.45,3440.4,1699.05,4.0,
4914,2024-01-29,West,Apparel,Online,Consumer,6,77.05,0.0,462.3,269.25,193.05,6.0,5.0
170,2024-01-30,North,Apparel,Wholesale,Corporate,112,30.87,0.0,3457.44,2364.06,1093.38,10.0,3.0
844,2024-01-30,West,Apparel,Online,Consumer,2,31.9,0.0,63.8,38.52,25.28,5.0,1.0
1836,2024-01-30,South,Footwear,Retail,Corporate,6,20.76,0.0,124.56,77.91,46.65,7.0,3.0
2114,2024-01-30,West,Apparel,Retail,Home Office,8,102.31,0.0,818.48,459.34,359.14,,2.0
2396,2024-01-30,West,Footwear,Retail,Consumer,9,37.17,0.15,284.35,180.08,104.27,6.0,1.0
2949,2024-01-30,West,Apparel,Retail,Corporate,4,64.37,0.0,257.48,175.08,82.4,10.0,2.0
1707,2024-01-31,North,Footwear,Retail,Consumer,5,39.38,0.15,167.36,100.22,67.14,9.0,4.0
1915,2024-01-31,South,Apparel,Wholesale,Home Office,92,91.8,0.05,8023.32,4769.04,3254.28,4.0,1.0
3400,2024-01-31,North,Outerwear,Wholesale,Consumer,168,51.19,0.0,8599.92,5749.96,2849.96,2.0,4.0
172,2024-02-01,West,Apparel,Online,Consumer,7,55.8,0.0,458.96,286.99,171.97,12.0,1.0
449,2024-02-01,North,Footwear,Online,Consumer,7,60.76,0.1,449.78,268.78,181.0,7.0,
2623,2024-02-01,South,Footwear,Retail,Consumer,3,17.41,0.0,61.37,36.77,24.6,3.0,5.0
3508,2024-02-01,South,Outerwear,Online,Corporate,6,14.92,0.15,89.41,58.11,31.3,13.0,2.0
4204,2024-02-01,West,Accessories,Online,Corporate,4,69.71,0.0,327.64,200.83,126.81,14.0,
1801,2024-02-02,North,Outerwear,Retail,Home Office,6,120.95,0.0,852.7,461.1,391.6,8.0,4.0
2288,2024-02-02,West,Footwear,Online,Consumer,3,74.09,0.0,261.17,179.92,81.25,8.0,2.0
2502,2024-02-02,North,Apparel,Wholesale,Consumer,268,57.81,0.0,18204.37,12514.22,5690.15,5.0,1.0
4771,2024-02-02,West,Apparel,Retail,Consumer,7,34.69,0.15,242.53,147.98,94.55,10.0,
719,2024-02-03,East,Accessories,Retail,Corporate,4,36.29,0.0,170.56,87.97,82.59,5.0,2.0
2202,2024-02-03,East,Apparel,Online,Consumer,2,64.36,0.05,143.68,95.74,47.94,12.0,4.0
2689,2024-02-03,North,Footwear,Retail,Corporate,10,27.99,0.15,279.55,173.7,105.85,12.0,2.0
2820,2024-02-03,South,Footwear,Online,Home Office,6,28.48,0.15,170.67,107.73,62.94,8.0,4.0
3110,2024-02-03,South,Footwear,Retail,Consumer,1,28.26,0.05,31.55,17.6,13.95,,
3698,2024-02-03,South,Apparel,Wholesale,Consumer,117,48.89,0.0,6721.15,3878.73,2842.42,,
3901,2024-02-03,North,Apparel,Online,Corporate,10,95.46,0.0,1121.66,651.33,470.33,11.0,4.0
4005,2024-02-03,South,Accessories,Wholesale,Home Office,129,54.89,0.05,7903.95,4430.56,3473.39,11.0,2.0
4413,2024-02-03,South,Accessories,Online,Corporate,6,117.54,0.0,828.66,497.08,331.58,4.0,
4619,2024-02-03,West,Apparel,Retail,Consumer,5,20.68,0.0,121.5,83.41,38.09,1.0,5.0
221,2024-02-04,North,Footwear,Online,Corporate,1,12.08,0.0,14.19,8.05,6.14,,
806,2024-02-04,West,Footwear,Retail,Consumer,4,38.7,0.05,172.8,109.16,63.64,4.0,2.0
889,2024-02-04,East,Apparel,Online,Corporate,7,91.44,0.0,752.09,405.38,346.71,6.0,4.0
1229,2024-02-04,South,Apparel,Online,Corporate,5,84.51,0.05,471.67,310.76,160.91,6.0,1.0
1778,2024-02-04,West,Footwear,Retail,Home Office,11,59.39,0.0,767.62,451.22,316.4,11.0,4.0
2078,2024-02-04,North,Accessories,Online,Consumer,4,63.5,0.0,298.45,205.97,92.48,6.0,4.0
2098,2024-02-04,South,Accessories,Retail,Consumer,6,27.52,0.1,174.61,111.41,63.2,14.0,1.0
2151,2024-02-04,East,Footwear,Wholesale,Consumer,205,33.05,0.0,7960.92,4960.43,3000.49,9.0,
2392,2024-02-04,East,Outerwear,Online,Consumer,10,30.93,0.0,363.43,233.21,130.22,14.0,4.0
2771,2024-02-04,East,Outerwear,Online,Consumer,1,86.41,0.1,91.38,53.88,37.5,1.0,2.0
3039,2024-02-05,West,Footwear,Retail,Corporate,2,91.09,0.15,181.95,125.28,56.67,7.0,4.0
3330,2024-02-05,West,Apparel,Wholesale,Consumer,335,52.42,0.0,20633.82,13288.66,7345.16,14.0,2.0
4019,2024-02-05,South,Footwear,Wholesale,Corporate,111,36.09,0.0,4707.04,3021.83,1685.21,11.0,3.0
4446,2024-02-05,West,Apparel,Retail,Consumer,8,30.4,0.0,285.76,191.73,94.03,13.0,3.0
207,2024-02-06,South,Footwear,Online,Home Office,2,73.82,0.05,164.8,105.78,59.02,7.0,4.0
550,2024-02-06,West,Accessories,Online,Corporate,1,119.65,0.0,140.59,90.59,50.0,10.0,5.0
710,2024-02-06,East,Accessories,Online,Home Office,7,26.87,0.05,209.96,136.19,73.77,,
1314,2024-02-06,East,Accessories,Online,Corporate,11,73.36,0.15,805.95,508.69,297.26,10.0,1.0
1343,2024-02-06,East,Outerwear,Wholesale,Consumer,193,63.23,0.25,10754.24,7059.24,3695.0,8.0,1.0
1555,2024-02-06,East,Apparel,Online,Consumer,11,115.07,0.25,1115.46,735.09,380.37,10.0,3.0
2408,2024-02-06,South,Apparel,Retail,Consumer,8,37.43,0.0,351.84,216.64,135.2,12.0,1.0
2854,2024-02-06,East,Accessories,Online,Home Office,6,121.08,0.05,810.93,473.11,337.82,5.0,
3337,2024-02-06,North,Apparel,Retail,Consumer,4,64.01,0.0,300.85,186.01,114.84,6.0,4.0
3402,2024-02-06,South,Footwear,Online,Consumer,4,105.13,0.0,494.11,290.73,203.38,,1.0
3874,2024-02-06,South,Apparel,Retail,Consumer,11,69.51,0.0,898.42,574.3,324.12,9.0,
3946,2024-02-06,West,Footwear,Online,Consumer,4,34.7,0.05,154.94,95.9,59.04,,5.0
4114,2024-02-06,North,Accessories,Online,Corporate,9,39.62,0.15,356.13,213.76,142.37,10.0,2.0
4908,2024-02-06,East,Accessories,Online,Corporate,5,28.92,0.0,169.91,119.27,50.64,13.0,4.0
39,2024-02-07,East,Footwear,Retail,Consumer,3,86.76,0.1,275.25,172.44,102.81,,4.0
2540,2024-02-07,North,Footwear,Retail,Corporate,9,83.47,0.0,882.7,547.17,335.53,14.0,
2661,2024-02-07,South,Footwear,Retail,Consumer,6,45.82,0.0,323.03,188.88,134.15,10.0,3.0
3525,2024-02-07,South,Accessories,Retail,Consumer,3,36.87,0.0,129.97,82.9,47.07,3.0,2.0
3689,2024-02-07,South,Apparel,Online,Corporate,10,38.05,0.0,447.09,269.57,177.52,10.0,
145,2024-02-08,West,Footwear,Online,Consumer,7,16.06,0.1,118.88,77.46,41.42,9.0,1.0
660,2024-02-08,West,Accessories,Online,Corporate,2,35.42,0.05,79.08,44.35,34.73,11.0,4.0
2164,2024-02-08,West,Apparel,Retail,Consumer,2,94.03,0.15,187.82,125.77,62.05,5.0,4.0
2172,2024-02-08,West,Accessories,Retail,Consumer,10,60.75,0.1,642.43,373.75,268.68,14.0,4.0
2349,2024-02-08,East,Footwear,Online,Corporate,10,49.34,0.1,521.77,325.65,196.12,2.0,4.0
3014,2024-02-08,East,Footwear,Retail,Corporate,2,44.16,0.0,103.78,65.77,38.01,11.0,
617,2024-02-09,South,Accessories,Retail,Consumer,1,99.81,0.0,117.28,75.9,41.38,5.0,5.0
1222,2024-02-09,West,Outerwear,Wholesale,Consumer,194,110.33,0.25,18862.29,11703.28,7159.01,9.0,
